"STATION","NAME","DATE","TMAX","TMIN"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-01","29","3"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-02","23","-1"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-03","19","2"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-04","25","14"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-05","22","-1"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-06","21","-6"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-07","19","-15"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-08","20","-14"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-09","23","-7"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-10","23","-1"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-11","17","7"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-12","20","6"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-13","14","7"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-14","15","1"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-15","13","6"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-16","13","2"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-17","7","-20"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-18","13","-18"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-19","20","-9"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-20","31","10"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-21","29","3"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-22","29","4"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-23","33","5"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-24","36","-1"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-25","36","22"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-26","37","22"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-27","27","12"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-28","23","4"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-29","22","-9"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-30","25","-9"
"USW00026533","BETTLES AIRPORT, AK US","2016-03-31","22","7"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-01","19","10"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-02","22","6"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-03","32","14"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-04","35","13"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-05","37","-2"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-06","33","-3"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-07","38","7"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-08","31","16"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-09","37","22"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-10","44","23"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-11","42","20"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-12","39","29"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-13","38","22"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-14","34","5"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-15","35","12"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-16","32","12"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-17","39","10"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-18","46","20"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-19","43","27"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-20","47","31"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-21","44","33"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-22","45","28"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-23","51","24"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-24","54","24"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-25","55","30"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-26","56","22"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-27","54","27"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-28","53","35"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-29","57","34"
"USW00026533","BETTLES AIRPORT, AK US","2016-04-30","56","30"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-01","57","36"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-02","57","33"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-03","57","31"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-04","56","32"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-05","54","29"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-06","56","34"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-07","59","31"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-08","61","29"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-09","61","39"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-10","63","29"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-11","64","43"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-12","66","40"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-13","68","45"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-14","68","32"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-15","51","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-16","57","40"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-17","45","36"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-18","45","38"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-19","62","29"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-20","60","49"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-21","57","47"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-22","57","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-23","56","36"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-24","51","35"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-25","57","37"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-26","53","38"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-27","69","40"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-28","74","39"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-29","70","50"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-30","71","36"
"USW00026533","BETTLES AIRPORT, AK US","2016-05-31","78","36"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-01","60","41"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-02","59","36"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-03","61","37"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-04","66","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-05","55","41"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-06","62","39"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-07","64","46"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-08","57","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-09","61","31"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-10","72","37"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-11","75","46"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-12","68","46"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-13","58","49"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-14","64","39"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-15","72","34"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-16","79","45"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-17","81","46"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-18","64","49"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-19","60","46"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-20","64","42"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-21","59","39"
"USW00026533","BETTLES AIRPORT, AK US","2016-06-22","68","37"
