NAME,DATE,TMAX
"BAKERSFIELD 5 NW, CA US",2/1/2017,67
"BAKERSFIELD 5 NW, CA US",2/2/2017,71
"BAKERSFIELD 5 NW, CA US",2/3/2017,67
"BAKERSFIELD 5 NW, CA US",2/4/2017,70
"BAKERSFIELD 5 NW, CA US",2/5/2017,65
"BAKERSFIELD 5 NW, CA US",2/6/2017,60
"BAKERSFIELD 5 NW, CA US",2/7/2017,64
"BAKERSFIELD 5 NW, CA US",2/8/2017,71
"BAKERSFIELD 5 NW, CA US",2/9/2017,73
"BAKERSFIELD 5 NW, CA US",2/10/2017,73
"BAKERSFIELD 5 NW, CA US",2/11/2017,73
"BAKERSFIELD 5 NW, CA US",2/12/2017,57
"BAKERSFIELD 5 NW, CA US",2/13/2017,63
"BAKERSFIELD 5 NW, CA US",2/14/2017,65
"BAKERSFIELD 5 NW, CA US",2/15/2017,66
"BAKERSFIELD 5 NW, CA US",2/16/2017,73
"BAKERSFIELD 5 NW, CA US",2/17/2017,61
"BAKERSFIELD 5 NW, CA US",2/18/2017,63
"BAKERSFIELD 5 NW, CA US",2/19/2017,64
"BAKERSFIELD 5 NW, CA US",2/21/2017,71
"BAKERSFIELD 5 NW, CA US",2/22/2017,70
"BAKERSFIELD 5 NW, CA US",2/23/2017,57
"BAKERSFIELD 5 NW, CA US",2/24/2017,51
"BAKERSFIELD 5 NW, CA US",2/25/2017,56
"BAKERSFIELD 5 NW, CA US",2/26/2017,51
"BAKERSFIELD 5 NW, CA US",2/27/2017,56
"BAKERSFIELD 5 NW, CA US",2/28/2017,55
