"STATION","NAME","DATE","AWND","TMAX","TMIN"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-01","12.30","16","6"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-02","6.71","17","11"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-03","15.88","41","10"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-04","19.01","39","11"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-05","19.01","13","-8"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-06","12.08","12","-9"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-07","9.84","50","7"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-08","7.83","22","14"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-09","10.51","34","11"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-10","8.72","40","27"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-11","13.20","52","26"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-12","9.62","52","35"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-13","11.63","51","25"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-14","22.59","48","26"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-15","10.51","51","17"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-16","30.42","46","22"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-17","10.74","43","12"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-18","19.91","43","23"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-19","13.65","68","26"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-20","20.58","48","7"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-21","9.62","32","2"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-22","16.33","35","2"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-23","11.63","21","-8"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-24","19.01","55","13"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-25","14.76","50","36"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-26","22.59","57","9"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-27","9.84","16","-1"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-28","7.61","24","0"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-29","14.54","51","6"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-30","16.33","44","21"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-01-31","5.37","21","15"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-01","10.96","23","4"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-02","10.29","27","-4"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-03","7.61","28","9"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-04","17.22","24","4"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-05","15.88","8","-10"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-06","9.17","7","-14"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-07","12.30","14","4"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-08","9.84","25","11"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-09","10.29","18","9"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-10","4.47","13","6"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-11","14.76","25","9"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-12","13.20","34","22"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-13","10.96","54","29"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-14","10.29","36","23"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-15","13.87","57","27"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-16","12.30","43","24"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-17","14.54","58","34"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-18","14.32","66","27"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-19","12.08","55","23"
"USW00014935","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US","2014-02-20","20.58","45","24"
