Name,Date,Tmax
"PIERRE REGIONAL AIRPORT, SD US",2/28/2017,33
"PIERRE REGIONAL AIRPORT, SD US",2/27/2017,49
"PIERRE REGIONAL AIRPORT, SD US",2/26/2017,46
"PIERRE REGIONAL AIRPORT, SD US",2/25/2017,39
"PIERRE REGIONAL AIRPORT, SD US",2/24/2017,32
"PIERRE REGIONAL AIRPORT, SD US",2/23/2017,33
"PIERRE REGIONAL AIRPORT, SD US",2/22/2017,55
"PIERRE REGIONAL AIRPORT, SD US",2/21/2017,70
"PIERRE REGIONAL AIRPORT, SD US",2/20/2017,60
"PIERRE REGIONAL AIRPORT, SD US",2/19/2017,67
"PIERRE REGIONAL AIRPORT, SD US",2/18/2017,61
"PIERRE REGIONAL AIRPORT, SD US",2/17/2017,57
"PIERRE REGIONAL AIRPORT, SD US",2/16/2017,63
"PIERRE REGIONAL AIRPORT, SD US",2/15/2017,56
"PIERRE REGIONAL AIRPORT, SD US",2/14/2017,42
"PIERRE REGIONAL AIRPORT, SD US",2/13/2017,43
"PIERRE REGIONAL AIRPORT, SD US",2/12/2017,42
"PIERRE REGIONAL AIRPORT, SD US",2/11/2017,44
"PIERRE REGIONAL AIRPORT, SD US",2/10/2017,47
"PIERRE REGIONAL AIRPORT, SD US",2/9/2017,28
"PIERRE REGIONAL AIRPORT, SD US",2/8/2017,12
"PIERRE REGIONAL AIRPORT, SD US",2/7/2017,14
"PIERRE REGIONAL AIRPORT, SD US",2/6/2017,19
"PIERRE REGIONAL AIRPORT, SD US",2/5/2017,23
"PIERRE REGIONAL AIRPORT, SD US",2/4/2017,25
"PIERRE REGIONAL AIRPORT, SD US",2/3/2017,22
"PIERRE REGIONAL AIRPORT, SD US",2/2/2017,16
"PIERRE REGIONAL AIRPORT, SD US",2/1/2017,25
