"Sale Date"	"Sale Price"	"sale_reason"	"sale_instrument"	"sale_warning"	"sitetype"	"addr_full"	"zip5"	"ctyname"	"postalctyn"	"lon"	"lat"	"building_grade"	"square_feet_total_living"	"bedrooms"	"bath_full_count"	"bath_half_count"	"bath_3qtr_count"	"year_built"	"year_renovated"	"current_zoning"	"sq_ft_lot"	"prop_type"	"present_use"	"residuals"	"standardized.residuals"	"studentized.residuals"	"cooks.distance"	"dfbeta.(Intercept)"	"dfbeta.bedrooms"	"dfbeta.bath_full_count"	"dffit"	"leverage"	"covariance.ratios"
2006-01-03	 698000	 1	 3	NA	"R1"	"17021 NE 113TH CT"	98052	"REDMOND"	"REDMOND"	-122	48	 9	 2810	 4	2	1	0	2003	   0	"R4"	   6635	"R"	  2	  -31178	-0.08168	-0.08167	0.0000002377428	    3.9065	   -1.5125	   -0.5949	-0.0008445	0.00011	1.00
2006-01-03	 649990	 1	 3	NA	"R1"	"11927 178TH PL NE"	98052	"REDMOND"	"REDMOND"	-122	48	 9	 2880	 4	2	0	1	2006	   0	"R4"	   5570	"R"	  2	  -79188	-0.20744	-0.20744	0.0000015336344	    9.9218	   -3.8416	   -1.5109	-0.0021449	0.00011	1.00
2006-01-03	 572500	 1	 3	NA	"R1"	"13315 174TH AVE NE"	98052	NA	"REDMOND"	-122	48	 8	 2770	 4	1	1	1	1987	   0	"R6"	   8444	"R"	  2	    8098	 0.02122	 0.02122	0.0000000436825	    0.8104	    0.7984	   -1.6462	 0.0003620	0.00029	1.00
2006-01-03	 420000	 1	 3	NA	"R1"	"3303 178TH AVE NE"	98052	"REDMOND"	"REDMOND"	-122	48	 8	 1620	 3	1	0	1	1968	   0	"R4"	   9600	"R"	  2	  -77411	-0.20280	-0.20279	0.0000028312881	  -31.0960	    1.0828	   11.8601	-0.0029143	0.00021	1.00
2006-01-03	 369900	 1	 3	"15"	"R1"	"16126 NE 108TH CT"	98052	"REDMOND"	"REDMOND"	-122	48	 7	 1440	 3	1	0	1	1980	   0	"R6"	   7526	"R"	  2	 -127511	-0.33405	-0.33404	0.0000076819559	  -51.2210	    1.7836	   19.5359	-0.0048004	0.00021	1.00
2006-01-03	 184667	 1	15	"18 51"	"R1"	"8101 229TH DR NE"	98053	NA	"REDMOND"	-122	48	 7	 4160	 4	2	1	1	2005	   0	"URPSO"	   7280	"R"	  2	 -544511	-1.42642	-1.42648	0.0000725123789	   68.2239	  -26.4155	  -10.3891	-0.0147497	0.00011	1.00
2006-01-04	1050000	 1	 3	NA	"R1"	"21634 NE 87TH PL"	98053	NA	"REDMOND"	-122	48	10	 3960	 5	3	0	1	1993	   0	"RA5"	  97574	"R"	  2	   89055	 0.23333	 0.23332	0.0000086575465	  -58.1068	    9.8897	   17.0472	 0.0050961	0.00048	1.00
2006-01-04	 875000	 1	 3	NA	"R1"	"21404 NE 67TH ST"	98053	NA	"REDMOND"	-122	48	10	 3720	 4	2	1	0	1988	   0	"RA5"	  30649	"R"	  2	  145822	 0.38200	 0.38199	0.0000052004569	  -18.2705	    7.0741	    2.7822	 0.0039497	0.00011	1.00
2006-01-04	 660000	 1	 3	NA	"R1"	"7525 238TH AVE NE"	98053	NA	"REDMOND"	-122	48	 9	 4160	 4	2	1	1	1978	   0	"RA5"	  42688	"R"	  2	  -69178	-0.18122	-0.18122	0.0000011704149	    8.6676	   -3.3560	   -1.3199	-0.0018738	0.00011	1.00
2006-01-04	 650000	 1	 3	NA	"R1"	"17703 NE 26TH ST"	98052	"REDMOND"	"REDMOND"	-122	48	 8	 2760	 4	1	0	1	1976	   0	"R3"	  94889	"R"	  2	   85598	 0.22426	 0.22425	0.0000048805511	    8.5665	    8.4389	  -17.4010	 0.0038263	0.00029	1.00
2006-01-04	 599950	 1	 3	NA	"R1"	"14924 NE 74TH CT"	98052	"REDMOND"	"REDMOND"	-122	48	 9	 2180	 3	2	1	0	1988	   0	"R5"	   7949	"R"	  2	  -62238	-0.16304	-0.16304	0.0000010850000	  -10.9730	    3.9860	   -4.3030	-0.0018041	0.00012	1.00
2006-01-04	 526787	 1	 3	NA	"R1"	"7858 148TH CT NE"	98052	"REDMOND"	"REDMOND"	-122	48	 8	 2480	 3	2	1	0	2005	   0	"R5"	   2647	"R"	  2	 -135401	-0.35470	-0.35469	0.0000051352519	  -23.8720	    8.6717	   -9.3613	-0.0039249	0.00012	1.00
2006-01-04	 470000	 1	 3	NA	"R1"	"17905 NE 26TH ST"	98052	"REDMOND"	"REDMOND"	-122	48	 8	 2230	 4	1	0	1	1975	   0	"R3"	  12070	"R"	  2	  -94402	-0.24732	-0.24731	0.0000059361093	   -9.4476	   -9.3068	   19.1907	-0.0042198	0.00029	1.00
