exam	computer	lectures	numeracy	stats	uni	
18	54	75	7	1	0	
30	47	8.5	1	1	0	
40	58	69.5	6	1	0	
30	37	67	6	2	0	
40	53	44.5	2	2	0	
15	48	76.5	8	2	0	
36	49	70	3	2	0	
40	49	18.5	7	3	0	
63	45	43.5	4	3	0	
31	62	100	6	3	0	
22	67	48	3	3	0	
47	62	10.5	3	3	0	
38	38	57.5	1	3	0	
34	37	61.5	8	4	0	
54	54	54	4	4	0	
35	48	71	5	4	0	
33	48	14	9	5	0	
38	42	55.5	3	5	0	
29	57	72.5	2	5	0	
36	55	38	4	5	0	
59	41	40	1		0	
31	42	85.5	4		0	
34	48	52	4		0	
28	44	8	3		0	
50	42	62.5	6		0	
59	42	70.5	3	1	0	
33	40	98	4	1	0	
57	52	34.5	2	1	0	
25	56	62.5	3	2	0	
53	54	91.5	2	2	0	
65	52	97.5	7	2	0	
47	55	31.5	2	2	0	
28	61	80.5	7	3	0	
43	56	66.5	4	3	0	
47	52	57.5	2	3	0	
60	49	67	4	3	0	
45	43	48.5	4	3	0	
22	51	61	4	3	0	
39	49	76	3	4	0	
43	56	30.5	2	4	0	
66	41	45	2	4	0	
36	67	21.5	4	5	0	
26	35	72.5	5	5	0	
58	49	66	8	5	0	
53	62	90.5	6	5	0	
37	66	48.5	4	5	0	
48	48	62	3	5	0	
32	46	49	1	5	0	
42	46	60	5	5	0	
34	58	21	5	5	0	
56	30	84.5	7	1	1	
76	48	51	8	1	1	
72	54	58.5	5	1	1	
77	44	42	6	2	1	
77	54	65.5	9	2	1	
66	58	56	7	2	1	
62	59	71.5	2	2	1	
86	54	48.5	5	3	1	
97	35	84.5	5	3	1	
72	56	47.5	2	3	1	
69	53	54	3	3	1	
87	56	70.5	6	3	1	
88	65	73	5	3	1	
72	50	79	12	4	1	
75	39	82.5	8	4	1	
74	40	74.5	3	4	1	
68	50	85	2	5	1	
81	57	69.5	10	5	1	
77	39	42	7	5	1	
71	41	43	8	5	1	
60	48	46.5	6	5	1	
74	46	36.5	8	5	1	
80	54	72.5	4	5	1	
68	55	62	4	5	1	
64	27	81.5	5	5	1	
94	57	100	13	1	1	
65	73	27	14	1	1	
72	54	59.5	2	1	1	
75	54	75	3	2	1	
92	50	34	2	2	1	
89	56	78	4	2	1	
83	57	80.5	5	2	1	
80	54	84	2	3	1	
95	55	37.5	4	3	1	
99	54	57	3	3	1	
80	52	66	8	3	1	
81	67	59	10	3	1	
75	44	68.5	5	3	1	
78	57	88.5	3	4	1	
65	54	55	8	4	1	
80	51	86	5	4	1	
86	55	68.5	10	5	1	
73	51	64	7	5	1	
81	45	12.5	1	5	1	
69	59	52.5	7	5	1	
60	43	37	5	2	1	
69	57	46	2	2	1	
71	50	97.5	2	2	1	
82	50	70.5	4	2	1	
58	47	78	3	2	1	
23	41	75	7	1	2	
39	34	8.5	1	1	2	
52	45	69.5	6	1	2	
39	24	67	6	2	2	
52	40	44.5	2	2	2	
20	35	76.5	8	2	2	
47	36	70	3	2	2	
52	36	18.5	7	3	2	
82	32	43.5	4	3	2	
40	49	100	6	3	2	
29	54	48	3	3	2	
61	49	10.5	3	3	2	
49	25	57.5	1	3	2	
44	24	61.5	8	4	2	
70	41	54	4	4	2	
46	35	71	5	4	2	
43	35	14	9	5	2	
49	29	55.5	3	5	2	
38	44	72.5	2	5	2	
47	42	38	4	5	2	
77	28	40	1		2	
40	29	85.5	4		2	
44	35	52	4		2	
36	31	8	3		2	
65	29	62.5	6		2	
77	29	70.5	3	1	2	
43	27	98	4	1	2	
74	39	34.5	2	1	2	
33	43	62.5	3	2	2	
69	41	91.5	2	2	2	
85	39	97.5	7	2	2	
61	42	31.5	2	2	2	
36	48	80.5	7	3	2	
56	43	66.5	4	3	2	
61	39	57.5	2	3	2	
78	36	67	4	3	2	
59	30	48.5	4	3	2	
29	38	61	4	3	2	
51	36	76	3	4	2	
56	43	30.5	2	4	2	
86	28	45	2	4	2	
47	54	21.5	4	5	2	
34	22	72.5	5	5	2	
75	36	66	8	5	2	
69	49	90.5	6	5	2	
48	53	48.5	4	5	2	
62	35	62	3	5	2	
42	33	49	1	5	2	
55	33	60	5	5	2	
44	45	21	5	5	2	
